event_seed,rehandling,crane_distance_m,loading_time_min,fill_ratio,n_placements,n_dispatches,decision_ms,population
2000.0,3.0,30211.5,799.8749999999998,0.4704861111111111,314.0,93.0,15.864048726294282,0
2001.0,15.0,36693.0,936.4499999999998,0.5590277777777778,372.0,73.0,11.083214784863934,1
2002.0,5.0,29377.5,802.8750000000001,0.4652777777777778,327.0,102.0,11.097395413074413,2
2003.0,4.0,30969.0,827.6250000000001,0.4670138888888889,319.0,98.0,15.467842633187841,3
2004.0,3.0,38190.0,991.1249999999997,0.5329861111111112,416.0,123.0,15.001590144055836,4
2005.0,4.0,27108.0,701.4750000000001,0.4791666666666667,295.0,75.0,15.048486440614166,5
2006.0,3.0,35901.0,981.9000000000003,0.4722222222222222,361.0,99.0,15.14122686962777,6
2007.0,3.0,39568.5,1007.0250000000002,0.515625,394.0,120.0,14.641670558168311,7
2008.0,2.0,33211.5,815.8500000000004,0.5208333333333334,337.0,89.0,10.98232255177365,8
2009.0,5.0,27252.0,796.2000000000002,0.4600694444444444,316.0,107.0,11.22090506306691,9
2010.0,1.0,32905.5,793.1999999999998,0.5451388888888888,374.0,93.0,10.547585026899547,10
2011.0,1.0,36376.5,981.9750000000001,0.4982638888888889,379.0,107.0,14.89838496060817,11
2012.0,1.0,26581.5,629.775,0.4947916666666667,288.0,75.0,14.65637326388484,12
2013.0,6.0,34639.5,874.5,0.5173611111111112,354.0,99.0,15.08637909616076,13
2014.0,4.0,36001.5,892.0499999999998,0.5416666666666666,380.0,92.0,14.93837394725568,14
2015.0,5.0,44254.5,1162.4250000000002,0.5486111111111112,446.0,113.0,15.072369731202718,15
2016.0,5.0,31521.0,899.5500000000003,0.4565972222222222,337.0,107.0,14.602484272829034,16
2017.0,5.0,36042.0,942.7499999999998,0.5052083333333334,360.0,88.0,14.924849444388302,17
2018.0,6.0,36447.0,873.825,0.5555555555555556,365.0,90.0,14.686912876989993,18
2019.0,5.0,28488.0,769.8749999999997,0.46875,300.0,88.0,10.673297666532259,19
2020.0,1.0,31135.5,812.4749999999998,0.5052083333333334,339.0,88.0,14.927371681293893,20
2021.0,7.0,35268.0,920.7000000000002,0.5104166666666666,363.0,97.0,10.35474049596574,21
2022.0,4.0,37365.0,994.4249999999997,0.4947916666666667,392.0,101.0,10.935585714109113,22
2023.0,5.0,44361.0,1131.1499999999994,0.5399305555555556,422.0,112.0,14.658629146712293,23
2024.0,3.0,35890.5,996.2249999999999,0.4496527777777778,344.0,110.0,15.058252035127817,24
2025.0,3.0,32122.5,816.0750000000002,0.5,351.0,92.0,10.583757549748016,25
2026.0,4.0,39040.5,1068.075,0.484375,399.0,101.0,15.204755639075886,26
2027.0,2.0,32085.0,779.5499999999997,0.5277777777777778,339.0,87.0,15.096132153220019,27
2028.0,6.0,31792.5,882.8249999999998,0.4670138888888889,343.0,98.0,15.14386676390874,28
2029.0,3.0,33256.5,885.525,0.5,374.0,110.0,15.067348128346849,29
